index,status,version,description,date,dubious,year,visible,rating,title,submitterid,id,imdbid
22,,,,2010-09-20 14:03:37,0,1984.0,1,3.0,What Have I Done to Deserve This?,1917.0,1582.0,0088461
42,,,,2016-08-29 21:07:49,0,2007.0,1,3.0,Las 13 rosas,13899.0,7079.0,0809533
49,,,,2013-09-30 07:26:05,0,2005.0,1,3.0,20 centimetros,8387.0,4648.0,0421528
57,,,,2011-04-17 13:15:29,0,2010.0,1,3.0,For 80 Days,3070.0,2192.0,1600383
84,,,,2017-05-21 15:24:52,0,2002.0,1,3.0,A mi madre le gustan las mujeres,14890.0,7649.0,0306432
109,,,,2010-11-30 23:26:46,0,1997.0,1,3.0,Actrius,2288.0,1794.0,0115462
119,,,,2016-12-05 14:35:49,0,2006.0,1,3.0,Peliculas para no dormir: Adivina quien soy,14284.0,7315.0,0461826
139,,,,2010-02-28 17:56:53,0,2009.0,1,1.0,Agora,453.0,692.0,1186830
7,,,,2016-07-25 15:23:39,0,2014.0,1,3.0,Aloft,13758.0,6994.0,2494384
15,,,,2010-10-19 12:47:31,0,2010.0,1,3.0,Amador,2081.0,1672.0,1477171
19,,,,2017-01-26 22:14:45,0,1957.0,1,3.0,Amanecer en Puerta Oscura,14460.0,7420.0,0050116
91,,,,2016-12-16 12:41:41,1,2001.0,1,3.0,Arachnid,14313.0,7331.0,0271972
120,,,,2016-07-25 14:41:13,0,2012.0,1,1.0,Asterix and Obelix: God Save Britannia,13757.0,6993.0,1597522
124,,,,2017-01-18 16:18:32,0,1973.0,1,3.0,El ataque de los muertos sin ojos [Return of the Evil Dead],14442.0,7406.0,0068232
130,,,,2019-01-26 16:15:05,0,2015.0,1,1.0,Atrapa la bandera [Capture the Flag],16839.0,8614.0,3896100
138,,,,2014-11-02 13:33:44,0,2014.0,1,1.0,Automata,11150.0,5892.0,1971325
171,,,,2016-10-02 15:37:29,0,1998.0,1,3.0,Barrio,14051.0,7168.0,0146468
7,,,,2013-01-05 09:30:58,0,2011.0,1,1.0,Blackthorn,6331.0,3805.0,1629705
17,,,,2017-04-25 11:57:41,0,1987.0,1,3.0,El bosque animado,14803.0,7590.0,0092693
28,,,,2013-11-01 17:12:49,0,2013.0,1,3.0,Witching and Bitching,8598.0,4768.0,2404738
63,,,,2016-06-22 15:18:42,0,2008.0,1,3.0,Camino,13667.0,6946.0,1206285
97,,,,2018-09-01 11:57:25,0,2018.0,1,3.0,Carmen y Lola,16428.0,8395.0,7485508
121,,,,2017-11-22 13:50:26,0,2009.0,1,0.0,Celda 211,15439.0,7917.0,1242422
138,,,,2010-12-08 10:38:13,0,2010.0,1,2.0,Chico &amp Rita,2334.0,1831.0,1235830
8,,,,2012-05-26 01:36:11,0,2000.0,1,3.0,La comunidad,5260.0,3285.0,0255067
26,,,,2017-02-05 12:10:54,0,2016.0,1,1.0,Contratiempo,14489.0,7430.0,4857264
42,,,,2012-08-20 19:57:48,0,2012.0,1,1.0,Cosmopolis,5685.0,3481.0,1480656
46,,,,2013-11-01 15:58:14,0,2005.0,1,3.0,Le couperet,8591.0,4761.0,0422015
92,,,,2016-12-19 23:15:48,1,2001.0,1,3.0,Dagon,14327.0,7340.0,0264508
139,,,,2017-01-11 21:59:30,1,1995.0,1,3.0,El dia de la bestia,14414.0,7388.0,0112922
144,,,,2012-07-23 23:44:16,0,2008.0,1,3.0,Diary of a Nymphomaniac,5579.0,3444.0,1111890
169,,,,2011-11-29 19:08:23,0,2010.0,1,2.0,The Disciple,4392.0,2881.0,1618390
35,,,,2021-11-12 04:13:42,1,2018.0,1,3.0,Mirage,19691.0,10125.0,6908274
81,,,,2012-06-23 07:02:56,1,2009.0,1,0.0,The Dancer and the Thief,5414.0,3377.0,1243375
125,,,,2013-09-12 19:01:09,1,2012.0,1,3.0,The Body,8219.0,4558.0,1937149
162,,,,2010-10-02 22:46:02,0,2010.0,1,3.0,The Great Vazquez,1995.0,1624.0,1525915
180,,,,2020-03-22 14:39:42,0,2019.0,1,1.0,The Platform,17797.0,9047.0,8228288
37,,,,2016-09-17 22:51:24,0,2016.0,1,3.0,El Olivo,13976.0,7122.0,3655972
38,,,,2010-07-23 07:27:56,0,2007.0,1,3.0,The Orphanage,1389.0,1285.0,0464141
45,,,,2010-09-20 14:07:10,0,2008.0,1,3.0,My Prison Yard,1918.0,1583.0,1103193
52,,,,2017-03-24 13:41:46,0,1983.0,1,1.0,El pico,14702.0,7531.0,0086104
53,,,,2017-03-24 13:40:36,0,1984.0,1,1.0,El pico 2,14701.0,7530.0,0087913
101,,,,2010-11-23 09:01:46,0,2010.0,1,3.0,Uncle Boonmee Who Can Recall His Past Lives,2256.0,1775.0,1588895
144,,,,2017-06-29 21:32:22,0,2007.0,1,3.0,Its a Free World...,15019.0,7711.0,0807054
151,,,,2010-08-17 13:33:31,0,1999.0,1,3.0,Why Not Me?,1720.0,1475.0,0162556
156,,,,2012-06-23 06:53:21,0,1983.0,1,3.0,Dark Habits,5413.0,3376.0,0085496
173,,,,2015-06-23 07:26:51,0,2014.0,1,2.0,Escobar: Paradise Lost,12274.0,6331.0,2515030
0,,,,2016-09-05 06:00:45,0,2001.0,1,1.0,El Espinazo del Diablo,13926.0,7094.0,0256009
47,,,,2013-11-20 23:01:06,0,2012.0,1,3.0,Fin,8813.0,4861.0,2046090
61,,,,2014-09-14 20:28:09,0,2005.0,1,3.0,Fragiles (Fragile),10821.0,5747.0,0422272
75,,,,2017-03-02 22:45:24,0,1981.0,1,0.0,La fuga de Segovia,14597.0,7477.0,0082424
143,,,,2016-11-24 11:22:42,0,2006.0,1,3.0,Peliculas para no dormir: La habitacion del ni&ntildeo,14253.0,7293.0,0430164
