imdbid,rating,genre,director,budget,gross
0088461,7.1,Comedy,Pedro Almodóvar,No budget,No gross
0809533,6.6,Drama,Emilio Martínez Lázaro,9000000,6939516
0421528,6.6,Comedy,Ramón Salazar,No budget,439632
1600383,6.9,Drama,Jon Garaño,No budget,115251
0306432,6.2,Comedy,Daniela Fejerman,No budget,2447070
0115462,6.8,Drama,Ventura Pons,No budget,No gross
0461826,5.2,Horror,Enrique Urbizu,No budget,No gross
1186830,7.1,Adventure,Alejandro Amenábar,70000000,39457342
2494384,5.2,Drama,Claudia Llosa,8000000,270971
1477171,6.7,Drama,Fernando León de Aranoa,No budget,923507
0050116,6.3,Action,José María Forqué,SP 8000000,No gross
0271972,3.9,Action,Jack Sholder,570000,No gross
1597522,5.3,Adventure,Laurent Tirard,61000000,61319383
0068232,5.8,Action,Amando de Ossorio,No budget,No gross
3896100,5.8,Animation,Enrique Gato,12500000,24604331
1971325,6.0,Action,Gabe Ibáñez,7000000,6237990
0146468,7.1,Drama,Fernando León de Aranoa,No budget,No gross
1629705,6.5,Action,Mateo Gil,No budget,987883
0092693,7.3,Comedy,José Luis Cuerda,No budget,No gross
2404738,6.4,Action,Álex de la Iglesia,No budget,7422695
1206285,7.4,Drama,Javier Fesser,No budget,No gross
7485508,7.0,Drama,Arantxa Echevarría,700000,342699
1242422,7.6,Action,Daniel Monzón,3500000,19305314
1235830,7.2,Animation,Tono Errando,9200000,2347919
0255067,7.2,Adventure,Álex de la Iglesia,4000000,290754
4857264,8.0,Crime,Oriol Paulo,4000000,31191910
1480656,5.1,Crime,David Cronenberg,20500000,7029095
0422015,7.3,Comedy,Costa-Gavras,No budget,4885946
0264508,6.2,Fantasy,Stuart Gordon,4200000,145046
0112922,7.3,Action,Álex de la Iglesia,2100000,9984
1111890,5.7,Drama,Christian Molina,No budget,2758691
1618390,2.6,Biography,Emilio Ruiz Barrachina,No budget,233528
6908274,7.4,Drama,Oriol Paulo,No budget,17325485
1243375,6.1,Drama,Fernando Trueba,No budget,2865915
1937149,7.6,Action,Oriol Paulo,No budget,8779609
1525915,6.2,Biography,Óscar Aibar,4300000,1184521
8228288,7.0,Horror,Galder Gaztelu-Urrutia,No budget,1090116
3655972,6.8,Comedy,Icíar Bollaín,4200000,2090232
0464141,7.4,Drama,J.A. Bayona,3400000,78638987
